"HH1","HH2","UF4","Index_Birth_Registered_R","Index_Disabled_Child_R","Index_Mother_Disabled_R","Birth_of_Child_not_wanted","Disability_Dummy_Ref","Religion_Belief_Dummy","Ethnic_Immigration_Dummy","Sex_Dummy","Sexual_Orientation_Dummy","Age_Dummy","Other_Reason_Dummy","level_of_education_mother_r","Mother_Health_Insurance","HouseHead_Religiosity_R","family_economic_status"
3,4,2,1,NA,1,1,0,0,1,0,0,0,0,0,1,1,NA
3,4,2,1,0,1,1,0,0,1,0,0,0,0,0,1,1,NA
30,11,2,1,1,1,NA,0,0,0,0,0,0,0,NA,NA,1,1
30,11,2,1,1,1,NA,0,1,0,0,0,0,0,0,1,1,1
30,16,1,1,0,1,NA,0,0,0,0,0,0,0,1,1,1,NA
30,2,2,1,0,0,NA,NA,0,0,0,0,0,NA,NA,1,1,0
30,8,5,1,1,0,NA,0,0,0,0,0,0,0,0,1,1,NA
30,8,5,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
30,8,6,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,NA
30,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
30,9,2,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,NA
31,1,4,1,NA,0,0,0,0,0,0,0,0,0,0,1,1,NA
31,1,4,1,NA,0,NA,0,0,0,0,0,0,0,NA,NA,1,NA
31,1,4,1,NA,0,NA,0,0,0,0,0,0,0,0,1,1,NA
31,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,NA
31,1,4,1,0,0,NA,0,0,0,0,0,0,0,NA,NA,1,NA
31,1,4,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,NA
31,10,2,1,0,1,NA,0,0,0,0,0,0,0,NA,NA,1,1
31,10,2,1,0,1,NA,0,0,0,0,0,0,1,0,1,1,1
31,12,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,NA
31,12,3,1,0,0,NA,0,0,0,0,0,0,0,NA,NA,1,NA
31,12,3,1,NA,0,0,0,0,0,0,0,0,0,1,1,1,NA
31,12,3,1,NA,0,NA,0,0,0,0,0,0,0,NA,NA,1,NA
31,12,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,NA
31,12,3,1,0,0,NA,0,0,0,0,0,0,0,NA,NA,1,NA
31,13,4,1,1,1,NA,0,0,0,0,0,0,0,0,1,1,NA
31,13,4,1,1,1,NA,0,0,0,0,0,0,0,NA,1,1,NA
31,16,2,1,0,1,NA,0,0,0,0,0,0,0,0,1,1,NA
31,2,1,1,0,NA,NA,0,0,0,0,0,0,0,NA,NA,1,NA
31,5,1,1,0,1,NA,0,1,0,0,0,0,0,NA,1,1,1
31,8,2,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,NA
32,1,9,1,0,0,NA,0,0,0,0,0,0,0,1,1,1,1
32,1,9,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,1
32,7,2,1,0,1,NA,0,0,0,0,0,0,0,0,1,1,NA
33,11,4,1,0,1,NA,0,0,0,0,0,0,0,0,1,1,NA
33,11,4,1,0,1,NA,0,0,0,0,0,0,0,1,1,1,NA
33,12,2,1,NA,1,1,0,0,0,0,0,0,0,0,1,1,NA
33,12,2,1,0,1,1,0,0,0,0,0,0,0,0,1,1,NA
33,5,5,1,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA
33,5,5,1,NA,1,NA,0,0,0,0,0,0,0,NA,NA,1,NA
33,8,2,1,NA,1,0,0,0,0,0,0,0,0,0,1,1,NA
33,8,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
33,9,2,1,0,1,NA,0,0,0,0,0,0,0,0,1,1,NA
34,2,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
34,2,2,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,NA
34,4,4,1,0,1,NA,0,0,0,0,0,0,0,NA,1,1,NA
34,8,4,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1
34,8,4,1,NA,1,1,0,0,0,0,0,1,0,1,1,1,1
34,9,6,1,NA,0,NA,0,0,0,0,0,0,0,0,1,1,0
34,9,6,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
34,9,6,1,NA,0,0,0,0,0,0,0,0,0,0,1,1,0
35,12,2,1,0,1,NA,0,0,0,0,0,0,0,0,0,1,NA
35,2,1,1,0,1,NA,0,0,0,0,0,0,0,NA,1,1,1
35,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
35,3,10,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,1,1,NA
35,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
35,3,10,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,1,1,NA
35,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
35,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
